"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.12216,0,0,0,0,0.24432,1,1.6667e-07,5.9577e-17,3.0153e-07,0,-0,2.361,0,1,5.3522e-08,0
0.11953,0,0,0,0,0.23906,1,1.6667e-07,0.00088859,0.00012591,0,-0,0.10515,0,0.999,-0.00014159,0
0.11577,0,0,0,0,0.23155,1,1.6667e-07,0.00086597,0.00012254,0,-0,0.10374,0,0.99797,-0.00028818,0
0.11217,0,0,0,0,0.22433,1,1.6667e-07,0.00086757,0.00012261,0,-0,0.10378,0,0.99689,-0.00043986,0
0.10901,0,0,0,0,0.21803,1,1.6667e-07,0.00088894,0.00012545,0,-0,0.105,0,0.99578,-0.00059679,0
0.10626,0,0,0,0,0.21252,1,1.6667e-07,0.00092427,0.00013025,0,-0,0.10701,0,0.99463,-0.00075913,0
0.10375,0,0,0,0,0.2075,1,1.6667e-07,0.00096669,0.00013602,0,-0,0.10938,0,0.99344,-0.00092705,0
0.10137,0,0,0,0,0.20274,1,1.6667e-07,0.00101,0.00014189,0,-0,0.11175,0,0.9922,-0.0011007,0
0.099048,0,0,0,0,0.1981,1,1.6667e-07,0.0010508,0.0001474,0,-0,0.11393,0,0.99092,-0.0012803,0
0.096765,0,0,0,0,0.19353,1,1.6667e-07,0.0010885,0.00015243,0,-0,0.11591,0,0.9896,-0.001466,0
0.094513,0,0,0,0,0.18903,1,1.6667e-07,0.0011236,0.00015708,0,-0,0.11771,0,0.98823,-0.0016579,0
0.092286,0,0,0,0,0.18457,1,1.6667e-07,0.0011569,0.00016144,0,-0,0.11939,0,0.98681,-0.0018563,0
0.090079,0,0,0,0,0.18016,1,1.6667e-07,0.0011888,0.00016559,0,-0,0.12098,0,0.98534,-0.0020613,0
0.087888,0,0,0,0,0.17578,1,1.6667e-07,0.0012198,0.00016959,0,-0,0.12249,0,0.98381,-0.0022731,0
0.085707,0,0,0,0,0.17141,1,1.6667e-07,0.00125,0.00017344,0,-0,0.12395,0,0.98224,-0.002492,0
0.083533,0,0,0,0,0.16707,1,1.6667e-07,0.0012795,0.00017718,0,-0,0.12536,0,0.98061,-0.002718,0
0.081363,0,0,0,0,0.16273,1,1.6667e-07,0.0013084,0.00018081,0,-0,0.12673,0,0.97892,-0.0029514,0
0.079195,0,0,0,0,0.15839,1,1.6667e-07,0.0013369,0.00018434,0,-0,0.12805,0,0.97718,-0.0031925,0
0.077028,0,0,0,0,0.15406,1,1.6667e-07,0.0013648,0.00018778,0,-0,0.12934,0,0.97537,-0.0034413,0
