"Nu_Tilde"	"Pressure_Coefficient"	"Density"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"vorticity:0"	"vorticity:1"	"vorticity:2"	"velocity_magnitude"	"vorticity_magnitude"	"Points:0"	"Points:1"	"Points:2"
1.12356151e-08	-5.70809375e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.61759748e-15	-2.85404688e-03	5.46185393e-03	6.49313442e-04	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.73948884e+03	5.50031420e-03	6.73948884e+03	8.52500141e-01	-1.91600826e-02	0.00000000e+00
0.00000000e+00	-5.70809282e-03	1.00000000e+00	1.66666567e-07	2.22988566e-03	2.65070586e-04	0.00000000e+00	-0.00000000e+00	1.64148778e-01	0.00000000e+00	-2.85404641e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.72939547e+03	0.00000000e+00	6.72939547e+03	8.52500081e-01	-1.91592705e-02	0.00000000e+00
2.34151383e-08	-5.70805464e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.81410795e-13	-2.85402732e-03	1.13839712e-02	1.35333312e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.74499659e+03	1.14641315e-02	6.74499659e+03	8.52500260e-01	-1.91609561e-02	0.00000000e+00
3.66168607e-08	-5.70805557e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.08490311e-12	-2.85402779e-03	1.78043898e-02	2.11658073e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.74234808e+03	1.79297577e-02	6.74234808e+03	8.52500379e-01	-1.91619098e-02	0.00000000e+00
5.09253475e-08	-5.70804952e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.05864274e-12	-2.85402476e-03	2.47642249e-02	2.94394046e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.73864702e+03	2.49385970e-02	6.73864702e+03	8.52500498e-01	-1.91629399e-02	0.00000000e+00
6.64319657e-08	-5.70808165e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.17519779e-11	-2.85404082e-03	3.23078632e-02	3.84068582e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.74463344e+03	3.25353484e-02	6.74463344e+03	8.52500618e-01	-1.91640649e-02	0.00000000e+00
8.32353777e-08	-5.70805790e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.89574458e-11	-2.85402895e-03	4.04831208e-02	4.81249765e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.75221637e+03	4.07681641e-02	6.75221637e+03	8.52500737e-01	-1.91652738e-02	0.00000000e+00
1.01442176e-07	-5.70807140e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.38675293e-11	-2.85403570e-03	4.93413508e-02	5.86547563e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.75569620e+03	4.96887583e-02	6.75569620e+03	8.52500916e-01	-1.91665869e-02	0.00000000e+00
1.21167375e-07	-5.70802577e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.29944000e-10	-2.85401288e-03	5.89373596e-02	7.00612972e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.74918844e+03	5.93523227e-02	6.74918844e+03	8.52501094e-01	-1.91680025e-02	0.00000000e+00
1.42535157e-07	-5.70806395e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.48661869e-10	-2.85403198e-03	6.93291500e-02	8.24134797e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.74580875e+03	6.98172676e-02	6.74580875e+03	8.52501273e-01	-1.91695504e-02	0.00000000e+00
1.65679467e-07	-5.70804020e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.53486082e-10	-2.85402010e-03	8.05771649e-02	9.57831088e-03	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.75236771e+03	8.11444609e-02	6.75236771e+03	8.52501452e-01	-1.91712156e-02	0.00000000e+00
1.90744800e-07	-5.70800249e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	7.95564281e-10	-2.85400124e-03	9.27429870e-02	1.10243279e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.73643808e+03	9.33959177e-02	6.73643808e+03	8.52501690e-01	-1.91730130e-02	0.00000000e+00
2.17887049e-07	-5.70799597e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.35176859e-09	-2.85399798e-03	1.05886906e-01	1.25865573e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.71218928e+03	1.06632351e-01	6.71218928e+03	8.52501929e-01	-1.91749688e-02	0.00000000e+00
2.47274386e-07	-5.70801971e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.23589391e-09	-2.85400986e-03	1.20063975e-01	1.42715285e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.68299157e+03	1.20909200e-01	6.68299157e+03	8.52502167e-01	-1.91770885e-02	0.00000000e+00
2.79088738e-07	-5.70797548e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.61399932e-09	-2.85398774e-03	1.35317758e-01	1.60844103e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.63681708e+03	1.36270334e-01	6.63681708e+03	8.52502406e-01	-1.91793740e-02	0.00000000e+00
3.13527408e-07	-5.70795592e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.72503200e-09	-2.85397796e-03	1.51671201e-01	1.80279128e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.55835405e+03	1.52738858e-01	6.55835405e+03	8.52502704e-01	-1.91818494e-02	0.00000000e+00
3.50805720e-07	-5.70791075e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	8.90790997e-09	-2.85395538e-03	1.69113636e-01	2.01007538e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.43993015e+03	1.70304029e-01	6.43993015e+03	8.52503061e-01	-1.91845279e-02	0.00000000e+00
3.91160569e-07	-5.70788374e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	1.36360860e-08	-2.85394187e-03	1.87584311e-01	2.22956873e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.27291861e+03	1.88904662e-01	6.27291861e+03	8.52503419e-01	-1.91874299e-02	0.00000000e+00
4.34854911e-07	-5.70782321e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	2.05599555e-08	-2.85391160e-03	2.06953555e-01	2.45972872e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.04216749e+03	2.08410174e-01	6.04216749e+03	8.52503777e-01	-1.91905648e-02	0.00000000e+00
4.82183054e-07	-5.70777152e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	3.05559169e-08	-2.85388576e-03	2.27006242e-01	2.69799568e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.73390170e+03	2.28603919e-01	5.73390170e+03	8.52504134e-01	-1.91939604e-02	0.00000000e+00
5.33474861e-07	-5.70772262e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.47776287e-08	-2.85386131e-03	2.47434691e-01	2.94071045e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	5.35323939e+03	2.49176050e-01	5.35323939e+03	8.52504611e-01	-1.91976335e-02	0.00000000e+00
5.89096146e-07	-5.70757361e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	6.46990941e-08	-2.85378681e-03	2.67850459e-01	3.18325572e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.89927680e+03	2.69735389e-01	4.89927680e+03	8.52505088e-01	-1.92015991e-02	0.00000000e+00
6.49444075e-07	-5.70746139e-03	1.00000000e+00	1.66666567e-07	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	9.21306693e-08	-2.85373069e-03	2.87821949e-01	3.42049822e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	4.38347283e+03	2.89847296e-01	4.38347283e+03	8.52505565e-01	-1.92058943e-02	0.00000000e+00
